TokenID,Type
124,Golden Winner
54,Regular Winner
168,Regular Winner
70,Regular Winner
64,Regular Winner
265,Regular Winner
40,Regular Winner
109,Regular Winner
256,Regular Winner
203,Regular Winner
25,Regular Winner
287,Regular Winner
119,Regular Winner
185,Regular Winner
73,Regular Winner
156,Regular Winner
150,Regular Winner
160,Regular Winner
135,Regular Winner
294,Regular Winner
131,Regular Winner
92,Regular Winner
180,Regular Winner
224,Regular Winner
238,Regular Winner
195,Regular Winner
245,Regular Winner
125,Regular Winner
133,Regular Winner
237,Regular Winner
240,Regular Winner
104,Regular Winner
164,Regular Winner
225,Regular Winner
17,Regular Winner
49,Regular Winner
165,Regular Winner
193,Regular Winner
138,Regular Winner
239,Regular Winner
269,Regular Winner
90,Regular Winner
31,Regular Winner
129,Regular Winner
77,Regular Winner
86,Regular Winner
143,Regular Winner
114,Regular Winner
97,Regular Winner
205,Regular Winner
158,Regular Winner
260,Regular Winner
121,Regular Winner
145,Regular Winner
53,Regular Winner
248,Regular Winner
45,Regular Winner
110,Regular Winner
50,Regular Winner
159,Regular Winner
157,Regular Winner
278,Regular Winner
132,Regular Winner
184,Regular Winner
142,Regular Winner
227,Regular Winner
33,Regular Winner
141,Regular Winner
22,Regular Winner
105,Regular Winner
78,Regular Winner
271,Regular Winner
229,Regular Winner
139,Regular Winner
117,Regular Winner
51,Regular Winner
182,Regular Winner
268,Regular Winner
288,Regular Winner
41,Regular Winner
293,Regular Winner
285,Regular Winner
63,Regular Winner
261,Regular Winner
32,Regular Winner
24,Regular Winner
87,Regular Winner
14,Regular Winner
233,Regular Winner
289,Regular Winner
15,Regular Winner
258,Regular Winner
102,Regular Winner
295,Regular Winner
68,Regular Winner
189,Regular Winner
4,Regular Winner
270,Regular Winner
217,Regular Winner
266,Regular Winner
